Player,Image,Number,Salary,Tm,Pos,Birthday,Age,height,weight,Draft
Chris Boucher,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628449.png,25,"$7,020,000",Toronto Raptors,F-C,1/11/1993,28,6-9 / 2.06,200 lbs. / 90.7 kg.,-
James Bouknight,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630547.png,5,"$4,154,400",Charlotte Hornets,G,9/18/2000,21,6-5 / 1.96,190 lbs. / 86.2 kg.,1 11 2021
Avery Bradley,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202340.png,0,"$2,641,691",Los Angeles Lakers,G,11/26/1990,32,6-3 / 1.91,195 lbs. / 88.5 kg.,1 19 2010
Tony Bradley,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628396.png,13,"$1,789,256",Chicago Bulls,F-C,1/8/1998,23,6-10 / 2.08,248 lbs. / 112.5 kg.,1 28 2017
Ignas Brazdeikis,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629649.png,17,"$462,629",Orlando Magic,F,1/8/1999,22,6-6 / 1.98,216 lbs. / 98 kg.,2 47 2019
Mikal Bridges,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628969.png,25,"$5,557,725",Phoenix Suns,F-G,8/30/1996,25,6-6 / 1.98,209 lbs. / 94.8 kg.,1 10 2018
Miles Bridges,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628970.png,0,"$5,421,493",Charlotte Hornets,F,3/21/1998,23,6-6 / 1.98,225 lbs. / 102.1 kg.,1 12 2018
Oshae Brissett,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629052.png,12,"$1,701,593",Indiana Pacers,F,6/20/1998,23,6-7 / 2.01,210 lbs. / 95.3 kg.,-
Malcolm Brogdon,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627763.png,13,"$21,700,000",Indiana Pacers,G,12/11/1992,30,6-5 / 1.96,223 lbs. / 101.2 kg.,2 36 2016
Armoni Brooks,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629717.png,7,"$1,489,065",Houston Rockets,G,6/5/1998,23,6-3 / 1.91,185 lbs. / 83.9 kg.,-
Bruce Brown,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628971.png,6,"$4,736,102",Brooklyn Nets,G,8/15/1996,25,6-4 / 1.93,190 lbs. / 86.2 kg.,2 42 2018
Greg Brown III,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630535.png,4,-,-,-,9/1/2001,20,-,-,2 43 2021
Jaylen Brown,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627759.png,7,"$26,758,928",Boston Celtics,F,10/24/1996,25,6-6 / 1.98,223 lbs. / 101.2 kg.,1 3 2016
Moses Brown,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629650.png,4,"$1,701,593",Dallas Mavericks,C,10/13/1999,22,7-2 / 2.18,245 lbs. / 111.1 kg.,-
Sterling Brown,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628425.png,23,"$3,000,000",Dallas Mavericks,G,2/10/1995,26,6-5 / 1.96,230 lbs. / 104.3 kg.,2 46 2017
Troy Brown Jr,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628972.png,6,"$5,170,564",Chicago Bulls,F-G,7/28/1999,22,6-6 / 1.98,215 lbs. / 97.5 kg.,1 15 2018
Jalen Brunson,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628973.png,13,"$1,802,057",Dallas Mavericks,G,8/31/1996,25,6-1 / 1.85,190 lbs. / 86.2 kg.,2 33 2018
Reggie Bullock,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203493.png,25,"$9,536,000",Dallas Mavericks,G,3/16/1991,30,6-6 / 1.98,200 lbs. / 90.7 kg.,1 25 2013
Trey Burke,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203504.png,3,"$3,150,000",Dallas Mavericks,G,11/12/1992,30,6-0 / 1.83,191 lbs. / 86.6 kg.,1 9 2013
Alec Burks,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202692.png,10,"$9,536,000",New York Knicks,G,7/20/1991,30,6-6 / 1.98,195 lbs. / 88.5 kg.,1 12 2011
Jared Butler,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630215.png,13,"$925,258",Utah Jazz,G,8/25/2000,21,6-3 / 1.91,195 lbs. / 88.5 kg.,2 40 2021
Jimmy Butler,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202710.png,21,"$36,016,200",Miami Heat,G,9/14/1989,32,6-7 / 2.01,220 lbs. / 99.8 kg.,1 30 2011
Kentavious Caldwell-Pope,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203484.png,5,"$13,038,862",Washington Wizards,G,2/18/1993,28,6-5 / 1.96,204 lbs. / 92.5 kg.,1 8 2013
Facundo Campazzo,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630267.png,7,"$3,200,000",Denver Nuggets,G,3/23/1991,30,5-11 / 1.80,195 lbs. / 88.5 kg.,-
Clint Capela,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203991.png,15,"$18,603,448",Atlanta Hawks,C,5/18/1994,27,6-10 / 2.08,211 lbs. / 95.7 kg.,1 25 2014
Vernon Carey Jr,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630176.png,22,"$1,517,981",Charlotte Hornets,C,2/25/2001,20,6-10 / 2.08,270 lbs. / 122.5 kg.,2 32 2020
Jevon Carter,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628975.png,3,"$3,650,000",Brooklyn Nets,G,9/14/1995,26,6-1 / 1.85,200 lbs. / 90.7 kg.,2 32 2018
Wendell Carter Jr,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628976.png,34,"$6,920,027",Orlando Magic,C,4/16/1999,22,6-9 / 2.06,259 lbs. / 117.5 kg.,1 7 2018
Alex Caruso,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627936.png,4,"$8,600,000",Chicago Bulls,G,2/28/1994,27,6-5 / 1.96,186 lbs. / 84.4 kg.,-
Willie Cauley-Stein,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626161.png,00,"$4,100,000",Dallas Mavericks,C,8/18/1993,28,7-0 / 2.13,242 lbs. / 109.8 kg.,1 6 2015
Justin Champagnie,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630551.png,11,"$462,629",Toronto Raptors,F,6/29/2001,20,6-6 / 1.98,200 lbs. / 90.7 kg.,-
Chris Chiozza,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629185.png,2,"$462,629",Golden State Warriors,G,11/21/1995,27,5-11 / 1.80,175 lbs. / 79.4 kg.,-
Josh Christopher,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630528.png,9,"$2,259,240",Houston Rockets,G,12/8/2001,21,6-5 / 1.96,215 lbs. / 97.5 kg.,1 24 2021
Brandon Clarke,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629634.png,15,"$2,726,880",Memphis Grizzlies,F,9/19/1996,25,6-8 / 2.03,215 lbs. / 97.5 kg.,1 21 2019
Jordan Clarkson,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203903.png,6,"$12,420,000",Utah Jazz,G,6/7/1992,29,6-4 / 1.93,186 lbs. / 84.4 kg.,2 46 2014
Nicolas Claxton,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/None.png,33,"$1,782,621",Brooklyn Nets,C,4/17/1999,22,6-11 / 2.11,215 lbs. / 97.5 kg.,2 31 2019
Amir Coffey,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629599.png,7,"$462,629",Los Angeles Clippers,F,6/17/1997,24,6-7 / 2.01,210 lbs. / 95.3 kg.,-
John Collins,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628381.png,20,"$23,000,000",Atlanta Hawks,F,9/23/1997,24,6-9 / 2.06,225 lbs. / 102.1 kg.,1 19 2017
Mike Conley,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201144.png,11,"$21,000,000",Utah Jazz,G,10/11/1987,34,6-1 / 1.85,185 lbs. / 83.9 kg.,1 4 2007
Pat Connaughton,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626192.png,5,"$5,333,334",Milwaukee Bucks,G,1/6/1993,28,6-5 / 1.96,215 lbs. / 97.5 kg.,2 41 2015
Sharife Cooper,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630536.png,2,"$462,629",Atlanta Hawks,G,6/11/2001,20,6-1 / 1.85,160 lbs. / 72.6 kg.,2 48 2021
Petr Cornelie,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627822.png,21,"$462,629",Denver Nuggets,C,7/26/1995,26,6-11 / 2.11,210 lbs. / 95.3 kg.,2 53 2016
Robert Covington,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203496.png,33,"$12,975,471",Portland Trail Blazers,F,12/14/1990,32,6-7 / 2.01,209 lbs. / 94.8 kg.,-
Torrey Craig,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628470.png,3,"$4,878,049",Indiana Pacers,G,12/19/1990,32,6-7 / 2.01,215 lbs. / 97.5 kg.,-
Jae Crowder,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203109.png,9,"$9,720,900",Phoenix Suns,F,7/6/1990,31,6-6 / 1.98,235 lbs. / 106.6 kg.,2 34 2012
Jarrett Culver,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629633.png,23,"$6,395,160",Memphis Grizzlies,G,2/20/1999,22,6-6 / 1.98,195 lbs. / 88.5 kg.,1 6 2019
Cade Cunningham,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630595.png,2,"$10,050,120",Detroit Pistons,F,9/25/2001,20,6-7 / 2.01,220 lbs. / 99.8 kg.,1 1 2021
Seth Curry,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203552.png,1,"$8,207,518",Philadelphia 76ers,G,8/23/1990,31,6-2 / 1.88,180 lbs. / 81.6 kg.,-
Stephen Curry,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201939.png,30,"$45,780,966",Golden State Warriors,G,3/14/1988,33,6-3 / 1.91,185 lbs. / 83.9 kg.,1 7 2009
Anthony Davis,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203076.png,23,"$35,361,360",Los Angeles Lakers,F-C,3/11/1993,28,6-10 / 2.08,222 lbs. / 100.7 kg.,1 1 2012
Ed Davis,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202334.png,32,"$2,641,691",Cleveland Cavaliers,F,6/5/1989,32,6-9 / 2.06,215 lbs. / 97.5 kg.,1 13 2010
Terence Davis,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629056.png,0,"$4,000,000",Sacramento Kings,F,5/16/1997,24,6-4 / 1.93,201 lbs. / 91.2 kg.,-
Gabriel Deck,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630466.png,6,"$3,676,852",Oklahoma City Thunder,F,2/8/1995,26,6-6 / 1.98,210 lbs. / 95.3 kg.,-
Dewayne Dedmon,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203473.png,21,"$5,256,308",Miami Heat,C,8/12/1989,32,7-0 / 2.13,239 lbs. / 108.4 kg.,-
Sam Dekker,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626155.png,7,"$1,789,256",Toronto Raptors,F,5/6/1994,27,6-9 / 2.06,230 lbs. / 104.3 kg.,1 18 2015
DeMar DeRozan,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201942.png,10,"$26,000,000",Chicago Bulls,G-F,8/7/1989,32,6-6 / 1.98,220 lbs. / 99.8 kg.,1 9 2009
Hamidou Diallo,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628977.png,6,"$5,200,000",Detroit Pistons,G,7/31/1998,23,6-5 / 1.96,198 lbs. / 89.8 kg.,2 45 2018
Gorgui Dieng,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203476.png,5,"$4,000,000",Atlanta Hawks,C,1/18/1990,31,6-10 / 2.08,230 lbs. / 104.3 kg.,1 21 2013
Spencer Dinwiddie,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203915.png,8,"$17,142,857",Washington Wizards,G,4/6/1993,28,6-5 / 1.96,205 lbs. / 93 kg.,2 38 2014
Luka Doncic,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629029.png,77,"$10,174,391",Dallas Mavericks,G-F,2/28/1999,22,6-7 / 2.01,227 lbs. / 103 kg.,1 3 2018
Luguentz Dort,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629652.png,5,"$1,782,621",Oklahoma City Thunder,G,4/19/1999,22,6-3 / 1.91,215 lbs. / 97.5 kg.,-
Ayo Dosunmu,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630245.png,12,"$925,258",Chicago Bulls,G,1/17/2000,21,6-5 / 1.96,200 lbs. / 90.7 kg.,2 38 2021
Jeff Dowtin,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630288.png,-,"$462,629",Golden State Warriors,G,-,-,6-3 / 1.91,180 lbs. / 81.6 kg.,-
PJ Dozier,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628408.png,35,"$1,910,860",Denver Nuggets,G,10/25/1996,25,6-6 / 1.98,205 lbs. / 93 kg.,-
Goran Dragic,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201609.png,2,"$19,440,000",Toronto Raptors,G,5/6/1986,35,6-3 / 1.91,190 lbs. / 86.2 kg.,2 45 2008
Andre Drummond,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203083.png,1,"$2,401,537",Philadelphia 76ers,C,8/10/1993,28,6-10 / 2.08,270 lbs. / 122.5 kg.,1 9 2012
Chris Duarte,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630537.png,3,"$3,749,400",Indiana Pacers,G,6/13/1997,24,6-6 / 1.98,180 lbs. / 81.6 kg.,1 13 2021
Kevin Durant,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201142.png,35,"$40,918,900",Brooklyn Nets,F,9/29/1988,33,6-10 / 2.08,230 lbs. / 104.3 kg.,1 2 2007
Anthony Edwards,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630162.png,1,"$10,245,480",Minnesota Timberwolves,G,8/5/2001,20,6-6 / 1.98,225 lbs. / 102.1 kg.,1 1 2020
CJ Elleby,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629604.png,16,"$1,517,981",Portland Trail Blazers,F,6/16/2000,21,6-6 / 1.98,200 lbs. / 90.7 kg.,2 46 2020
Wayne Ellington,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201961.png,19,"$2,641,691",Los Angeles Lakers,G,10/29/1987,34,6-4 / 1.93,200 lbs. / 90.7 kg.,1 28 2009
